time               , latitude          , longitude, mod_points , alt_points        , uwnd         , vwnd          , hs         , fp         , dir          , dp            , phs0       , phs1       , phs2       , ptp0      , ptp1      , ptp2      , pdir0        , pdir1          , pdir2         , wind_speed
2025-01-01 06:00:00, 19.200000000000003,     133.8, 1.8141334  , 1.9336969092631129, -7.347113    , -3.1897757    , 1.8141334  , 0.124945745,  94.242065   ,  98.95523     , 1.77997    , 0.315404   ,            ,  8.019308 ,  6.3320794,           ,  96.390015   , 357.62292      ,               ,  8.009665314548386
2025-01-01 06:00:00, 20.4              ,     133.4, 2.0009475  , 2.6430001         , -7.4059615   , -4.167495     , 2.0009475  , 0.12286111 ,  81.00183    , 106.506836    , 1.345126   , 1.4695777  ,            ,  5.28577  ,  8.155666 ,           ,  42.705322   , 107.43097      ,               ,  8.498016257604315
2025-01-01 06:00:00, 21.2              ,     133.0, 2.1421206  , 2.4556386275322426, -8.130263    , -6.8219056    , 2.1421206  , 0.12188076 ,  66.07971    , 108.585266    , 1.6649815  , 1.3357955  ,            ,  5.4517474,  8.271008 ,           ,  34.93347    , 109.217285     ,               , 10.613179187429202
2025-01-01 06:00:00,  9.2              ,     135.0, 1.8578855  , 2.172776687208308 , -8.128452    , -0.72604054   , 1.8578855  , 0.12859754 ,  66.51141    ,  56.08441     , 1.6362044  , 0.6894453  , 0.5154946  ,  7.498648 ,  9.241465 ,  8.308373 ,  79.71716    ,   6.737213     ,  31.004395    ,  8.160812875077303
2025-01-01 06:00:00, 20.200000000000003,     133.4, 2.006893   , 2.5617484565293225, -7.668182    , -4.5125685    , 2.006893   , 0.12307814 ,  81.60858    , 105.7301      , 1.3424646  , 1.4800991  ,            ,  5.1749644,  8.141035 ,           ,  44.82483    , 106.48422      ,               ,  8.897431632348532
2025-01-01 06:00:00, 18.0              ,     134.2, 1.809029   , 1.6910001         , -4.7216263   , -0.90625036   , 1.809029   , 0.12664281 ,  93.11371    ,  92.51782     ,            , 1.7635938  , 0.3875595  ,           ,  7.9223013,  6.459493 ,              ,  96.04712      , 358.91144     ,  4.807810794098684
2025-01-01 06:00:00, 17.4              ,     134.4, 1.8263229  , 1.7120001         , -5.386023    , -0.35579377   , 1.8263229  , 0.12717988 ,  90.10925    ,  89.30798     ,            , 1.7827358  , 0.35993156 ,           ,  7.888463 ,  6.580954 ,              ,  92.86853      ,   0.7792053   ,  5.397761847590148
2025-01-01 06:00:00, 22.4              ,     132.4, 2.0456047  , 1.817268006019034 , -6.8425627   , -5.107323     , 2.0456047  , 0.12693627 ,  48.549683   ,  62.232727    , 1.1256341  , 1.23626    , 1.1637347  ,  4.872612 ,  7.0097547,  8.421937 ,  52.289307   , 347.30823      , 113.13556     ,  8.538466638089083
2025-01-01 06:00:00, 22.2              ,     132.6, 2.0721009  , 1.828588705658496 , -7.073533    , -5.2030406    , 2.0721009  , 0.12713702 ,  51.80847    ,  71.83093     , 1.0852723  , 1.2823476  , 1.1982774  ,  5.1919003,  6.8989606,  8.394656 ,  58.30365    , 351.45825      , 112.3114      ,  8.781030724655128
2025-01-01 06:00:00, 24.200000000000003,     131.6, 1.7013755  , 1.888040942309088 , -5.475511    , -3.8042216    , 1.7013755  , 0.124205425,  26.204956   ,  35.83734     ,            , 1.4045347  , 0.94964695 ,           ,  7.07157  ,  8.556665 ,              , 354.6958       , 117.730286    ,  6.667332502060143
2025-01-01 06:00:00, 18.0              ,     134.4, 1.80724    , 1.7010001         , -5.3037863   , -0.90427834   , 1.80724    , 0.12688099 ,  93.02792    ,  92.48834     ,            , 1.7607423  , 0.36312208 ,           ,  7.907047 ,  6.3682427,              ,  96.01709      ,   3.698822    ,  5.380322335349513
2025-01-01 06:00:00, 17.0              ,     134.6, 1.8375176  , 1.7160001         , -5.4940553   , -0.65400434   , 1.8375176  , 0.12756808 ,  87.97473    ,  87.17053     ,            , 1.7852625  , 0.39781097 ,           ,  7.8642545,  6.628279 ,              ,  91.28412      ,   4.8393555   ,  5.532844233863531
2025-01-01 06:00:00, 16.8              ,     134.8, 1.8405244  , 1.7161189542788948, -5.4299874   , -0.4744405    , 1.8405244  , 0.12784925 ,  86.92786    ,  86.10217     ,            , 1.7869139  , 0.40249902 ,           ,  7.846962 ,  6.7273917,              ,  90.3226       ,   4.940155    ,  5.450674907953969
2025-01-01 06:00:00,  6.6              ,     134.8, 1.6955433  , 1.864157238671226 , -7.4317427   , -0.34486508   , 1.6955433  , 0.12623163 ,  64.08301    ,  54.18872     , 1.4348221  , 0.88706714 ,            ,  7.416256 ,  9.018158 ,           ,  81.59235    ,  15.419281     ,               ,  7.439740014436438
